# newdoc
# newpar
# sent_id = 1
# text = 1 #смех# _ _ _ _ _ _ _ @es1944m-words#@es1944m#7.896#8.458 2 / _ _ _ _ _ _ _ @es1944m-words#@es1944m#8.458#9.02 3 ну _ _ _ _ _ _ _ @es1944m-words#@es1944m#9.02#9.582 4 / _ _ _ _ _ _ _ @es1944m-words#@es1944m#9.582#10.144 5 тут _ _ _ _ _ _ _ @es1944m-words#@es1944m#10.144#10.706 6 проблема _ _ _ _ _ _ _ @es1944m-words#@es1944m#10.706#11.268 7 такая _ _ _ _ _ _ _ @es1944m-words#@es1944m#11.
1	1	1	NUM	_	_	_	_	_	SpacesAfter=\t
2	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
3	смех	смех	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpaceAfter=No
4	#	#	PUNCT	_	_	_	_	_	SpacesAfter=\t
5	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
6	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
7	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
8	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
9	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
10	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
11	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
12	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
13	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
14	@es1944m#7.896#8.458	@es1944m#7.896#8.458	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
15	2	2	NUM	_	_	_	_	_	SpacesAfter=\t
16	/	/	PUNCT	_	_	_	_	_	SpacesAfter=\t
17	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
18	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
19	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
20	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
21	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
22	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
23	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
24	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
25	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
26	@es1944m#8.458#9.02	@es1944m#8.458#9.02	NOUN	_	_	_	_	_	SpacesAfter=\r\n
27	3	3	NUM	_	_	_	_	_	SpacesAfter=\t
28	ну	ну	PART	_	_	_	_	_	SpacesAfter=\t
29	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
30	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
31	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
32	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
33	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
34	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
35	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
36	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
37	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
38	@es1944m#9.02#9.582	@es1944m#9.02#9.582	NOUN	_	_	_	_	_	SpacesAfter=\r\n
39	4	4	NUM	_	_	_	_	_	SpacesAfter=\t
40	/	/	PUNCT	_	_	_	_	_	SpacesAfter=\t
41	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
42	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
43	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
44	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
45	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
46	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
47	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
48	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
49	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
50	@es1944m#9.582#10.144	@es1944m#9.582#10.144	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
51	5	5	NUM	_	_	_	_	_	SpacesAfter=\t
52	тут	тут	ADV	_	Degree=Pos	_	_	_	SpacesAfter=\t
53	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
54	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
55	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
56	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
57	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
58	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
59	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
60	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
61	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
62	@es1944m#10.144#10.706	@es1944m#10.144#10.706	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
63	6	6	NUM	_	_	_	_	_	SpacesAfter=\t
64	проблема	проблема	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\t
65	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
66	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
67	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
68	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
69	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
70	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
71	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
72	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
73	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
74	@es1944m#10.706#11.268	@es1944m#10.706#11.268	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
75	7	7	NUM	_	_	_	_	_	SpacesAfter=\t
76	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	SpacesAfter=\t
77	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
78	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
79	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
80	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
81	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
82	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
83	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
84	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
85	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
86	@es1944m	@es1944m	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
87	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
88	11.	11	NUM	_	_	_	_	_	SpaceAfter=No

# sent_id = 2
# text = 268#11.83 8 что _ _ _ _ _ _ _ @es1944m-words#@es1944m#11.83#12.392 9 / _ _ _ _ _ _ _ @es1944m-words#@es1944m#12.392#12.954 10 сложно _ _ _ _ _ _ _ @es1944m-words#@es1944m#12.954#13.516 11 не _ _ _ _ _ _ _ @es1944m-words#@es1944m#13.516#14.078 12 влюбиться _ _ _ _ _ _ _ @es1944m-words#@es1944m#14.078#14.64 13 в _ _ _ _ _ _ _ @es1944m-words#@es1944m#14.64#15.202 14 меня _ _ _ _ _ _ _ @es1944m-words#@es1944m#15.202#15.764 15 если _ _ _ _ _ _ _ @es1944m-words#@es1944m#15.764#16.326 16 / _ _ _ _ _ _ _ @es1944m-words#@es1944m#16.326#16.888 17 #смех# _ _ _ _ _ _ _ @es1944m-words#@es1944m#16.888#17.45 18 / _ _ _ _ _ _ _ @es1944m-words#@es1944m#17.45#18.012 19 ты _ _ _ _ _ _ _ @es1944m-words#@es1944m#18.012#18.574 20 пообщался _ _ _ _ _ _ _ @es1944m-words#@es1944m#18.574#19.136 21 со _ _ _ _ _ _ _ @es1944m-words#@es1944m#19.136#19.698 22 мной _ _ _ _ _ _ _ @es1944m-words#@es1944m#19.698#20.26 23 / _ _ _ _ _ _ _ @es1944m-words#@es1944m#20.26#20.822 24 поэтому _ _ _ _ _ _ _ @es1944m-words#@es1944m#20.
1	268#11.83	268#11.83	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	SpacesAfter=\r\n
2	8	8	NUM	_	_	_	_	_	SpacesAfter=\t
3	что	что	PRON	_	Case=Nom	_	_	_	SpacesAfter=\t
4	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
5	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
6	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
7	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
8	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
9	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
10	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
11	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
12	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
13	@es1944m	@es1944m	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
14	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
15	11.83#12.392	11.83#12.392	NOUN	_	_	_	_	_	SpacesAfter=\r\n
16	9	9	NUM	_	_	_	_	_	SpacesAfter=\t
17	/	/	PUNCT	_	_	_	_	_	SpacesAfter=\t
18	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
19	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
20	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
21	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
22	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
23	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
24	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
25	@es1944m-words	@es1944m-words	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
26	#	#	PUNCT	_	_	_	_	_	SpaceAfter=No
27	@es1944m	@es1944m	X	_	Foreign=Yes	_	_	_	SpaceAfter=No
28	#12.392#12.954	#12.392#12.954	X	_	Foreign=Yes	_	_	_	SpacesAfter=\r\n
29	10	10	NUM	_	_	_	_	_	SpacesAfter=\t
30	сложно	сложный	ADJ	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	_	_	_	SpacesAfter=\t
31	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
32	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
33	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
34	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
35	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
36	_	_	PUNCT	_	_	_	_	_	SpacesAfter=\t
