1	#смех#	#смех#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#7.896#8.458
2	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#8.458#9.02
3	ну	ну	PART	_	_	_	_	_	@es1944m-words#@es1944m#9.02#9.582
4	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#9.582#10.144
5	тут	тут	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#10.144#10.706
6	проблема	проблема	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#10.706#11.268
7	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#11.268#11.83
8	что	что	PRON	_	Case=Nom	_	_	_	@es1944m-words#@es1944m#11.83#12.392
9	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#12.392#12.954
10	сложно	сложный	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#12.954#13.516
11	не	не	PART	_	_	_	_	_	@es1944m-words#@es1944m#13.516#14.078
12	влюбиться	влюбиться	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Mid	_	_	_	@es1944m-words#@es1944m#14.078#14.64
13	в	в	ADP	_	_	_	_	_	@es1944m-words#@es1944m#14.64#15.202
14	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	@es1944m-words#@es1944m#15.202#15.764
15	если	если	SCONJ	_	_	_	_	_	@es1944m-words#@es1944m#15.764#16.326
16	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#16.326#16.888
17	#смех#	#смех#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#16.888#17.45
18	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#17.45#18.012
19	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@es1944m-words#@es1944m#18.012#18.574
20	пообщался	пообщаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@es1944m-words#@es1944m#18.574#19.136
21	со	с	ADP	_	_	_	_	_	@es1944m-words#@es1944m#19.136#19.698
22	мной	я	PRON	_	Case=Ins|Number=Sing|Person=1	_	_	_	@es1944m-words#@es1944m#19.698#20.26
23	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#20.26#20.822
24	поэтому	поэтому	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#20.822#21.384
25	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#21.384#21.946
26	#смех#	#смех#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#21.946#22.508
27	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#22.508#23.07
28	бесчисленное	бесчисленный	ADJ	_	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@es1944m-words#@es1944m#23.07#23.632
29	множество	множество	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@es1944m-words#@es1944m#23.632#24.194
30	сердец	сердец	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@es1944m-words#@es1944m#24.194#24.756
31	конечно	конечно	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#24.756#25.318
32	же	же	PART	_	_	_	_	_	@es1944m-words#@es1944m#25.318#25.88
33	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#25.88#26.442
34	#смех#	#смех#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#26.442#27.015
35	ну	ну	PART	_	_	_	_	_	@es1944m-words#@es1944m#28.4#28.61
36	наверно	наверно	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#28.61#28.82
37	да	да	CCONJ	_	_	_	_	_	@es1944m-words#@es1944m#28.82#29.03
38	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#29.03#29.24
39	что	что	PRON	_	Case=Nom	_	_	_	@es1944m-words#@es1944m#29.24#29.45
40	тут	тут	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#29.45#29.66
41	де..	де..	PROPN	_	Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#29.66#29.87
42	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#29.87#30.08
43	#смех#	#смех#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#30.08#30.29
44	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#30.29#30.5
45	что	что	SCONJ	_	_	_	_	_	@es1944m-words#@es1944m#30.5#30.71
46	тут	тут	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#30.71#30.92
47	сделаешь	делать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@es1944m-words#@es1944m#30.92#31.132
48	#смех#	#смех#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@es1944m-words#@es1944m#35.469#36.125
49	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#36.125#36.781
50	ээ	ээ	INTJ	_	_	_	_	_	@es1944m-words#@es1944m#36.781#37.437
51	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#37.437#38.093
52	потому	потому	ADV	_	Degree=Pos	_	_	_	@es1944m-words#@es1944m#38.093#38.749
53	что	что	SCONJ	_	_	_	_	_	@es1944m-words#@es1944m#38.749#39.405
54	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@es1944m-words#@es1944m#39.405#40.061
55	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#40.061#40.717
56	э	эра	INTJ	_	_	_	_	_	@es1944m-words#@es1944m#40.717#41.373
57	/	/	PUNCT	_	_	_	_	_	@es1944m-words#@es1944m#41.373#42.029
58	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@es1944m-words#@es1944m#42.029#42.685
59	мира	мир	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@es1944m-words#@es1944m#42.685#43.341
